,cues,outcomes
39,so_the_man_not_so_great_as_his_art,PresentSimple
40,by_then_of_course_the_hostages_the_chief_cause,PastPerf
41,you,PresentProg
42,unfortunately_the_mighty_and_majestic_animal_to_a_pawn_in_the_squalid_affairs_of_men,PastPerf
43,all_this_me_ill,PresentProg
44,or_you_from_finding_inner_peace,PresentSimple
45,no_cash_alternative_to_the_prizes,FutureSimple
46,all_of_this_valuable_and_expensive_studio_time,PresentSimple
47,tonight_the_fourth_of_their_honeymoon_lionel_but_robert_not,PastProg
48,his_mother_one_time_soon_after_they_dating,PastPerf
49,the_ticket_woman_and_i_on_famously,PastPerf
50,the_students_under_the_guidance_of_park_rangers,PresentProg
51,desperate_the_country_also_a_longer_and_worse_slump_than_its_competitors,PastPerf
52,to_show_her_the_evil_of_her_ways_the_evil_for_which_she,PastProg
53,on_a_general_level_some_of_the_connections_between_the_two_categories_of_document_preparation_and_information_retrieval_systems_already,PresentPerf
54,for_his_abrupt_switch_to_english_after_taking_one_look_at_her_knitted_hat_cheap_raincoat_and_brogues,PastPerf
55,however_welcoming_children_and_coping_with_them_quite_separate_qualities,PresentSimple
56,tinted_watercolour_paper_using_shades_of_watercolour_paper_you_a_whole_new_range_of_opportunities,FutureSimple
57,he_good,PresentProg
58,the_children_now_embarking_on_the_national_curriculum_still_in_school_at_the_turn_of_the_century,FutureSimple
59,one_commonly_used_lifting_method_the_pelvic_lift,PresentSimple
60,experiments_with_lasers_now_out_in_nuclear_physics_laboratories_throughout_the_world_revealing_clues_as_to_the_shape_and_size_of_nuclei_for_example_and_providing_a_precision_and_sensitivity_of_measurement_not_possible_before,PresentProg
61,over_the_passing_years_time_cruel_to_nearly_everybody_else,PastPerf
62,directions_for_examination_and_assessment_very_often_an_examination_or_assessment_necessary_for_evidential_purposes,FutureSimple
63,i_really_the_time_of_my_life,PresentProg
64,fixed_down_on_a_concrete_bed_and_then_your_generator_on_the_end_on_mhm,PresentSimple
65,alongside_these_the_seasonal_range_of_edible_flowers_back_on_the_shelves_of_stores_causing_great_media_and_customer_interest,PresentSimple
66,plantlets,FutureSimple
67,the_new_law_to_the_commons_in_the_new_year,FutureSimple
68,sir_john_a_restless_night_tossing_from_side_to_side_in_his_great_double_bed,PastPerf
69,risk_in_the_optimal_contract,FutureSimple
70,what_he_just,PastPerf
71,construction_and_cultivation_cooperation_within_the_family_unit_and_within_the_community,PresentSimple
72,she_her_eyes_on_a_bigger_catch_than_me,PastPerf
73,the_bill_next_november_instead_of_last_november,FutureSimple
74,alongside_the_body_shop_a_shed_a_machine_for_straightening_sole_bars_and_other_long_members_of_frames_and_grinding_machine_for_surfacing_sole_bars_and_headstocks,PresentProg
75,the_majority_of_youngsters_in_residential_care_at_least_one_previous_placement,PresentPerf
76,you_company,PresentPerf
77,again_to_illustrate_the_importance_of_themes_i_an_extreme,PresentPerf
78,the_economically_less_powerful_sections_of_the_middle_classes_fast_both_in_numbers_and_in_political_consciousness,PastProg
79,one_spark_of_decency_and_jack_soft,PastProg
80,a_message_out_in_capital_letters_with_a_labelling_machine,PastPerf
81,they_almost_all_their_eggs_in_the_basket_of_deterrence_particularly_nuclear_deterrence,PresentProg
82,a_mammoth_a_cold_climate,PastSimple
83,many_bureaux_word_processors_very_efficiently_especially_for_debt_counselling_work,PresentProg
84,the_development_officers_cautious_in_their_expectations_of_the_project,PastProg
85,but_she,PastProg
86,that_decision_walkers,PresentPerf
87,the_cost_of_the_eyesight_examination,FutureSimple
88,i_myself,PastProg
89,euripides_and_socrates_persistently_by_ancient_writers,PastSimple
90,you_me,PresentProg
91,george,PastSimple
92,away_from_college_or_course_an_important_element_in_training_for_ordination_by_one_or_more_parish_placements,PresentSimple
93,many_of_the_dogs_teeth_and_ears_and_overgrown_claws,PastPerf
94,two_approaches_to_the_construction_of_buying_behaviour_models,FutureSimple
95,clearly_your_own_knowledge_experience_and_circumstances_all_a_part_in_your_decision,FutureSimple
96,but_he_now_officially_on_unaco_time,PastProg
97,just_the_nuts_a_tweak,PresentSimple
98,you_medieval_food,PresentProg
99,not_as_you_it,PastProg
100,the_season_of_the_hunt_again_to_the_people_of_the_north_water,PastPerf
101,she_there_dead_of_fear_and_exhaustion,PastPerf
102,the_motivational_system_of_a_higher_organism_complex_several_distinct_types_of_mechanism_expressed_through_differing_behavioural_means,PresentProg
103,gabriel_the_wrong_way_at_the_crucial_second,PastProg
104,aye_you_usually_that,PresentSimple
105,three_hundred_and_fifty_years_ago_england_apart_by_a_bloody_civil_war,PastProg
106,your_full_name_james,PresentSimple
107,moving_home_home_ownership_never_more_important,PresentPerf
108,up_in_sheffield_a_protest_rally_against_police_provocation_and_brutality_ugly,PastProg
109,but_how_he_that_expertise,PastPerf
110,now_though_they_alone_to_the_car_marguerite_having_been_waylaid_by_an_acquaintance,PastProg
111,a_few_people_about_from_church_or_walking_home_with_a_newspaper_or_a_neatly_wrapped_pastry,PastProg
112,with_the_closure_of_a_further_five_mills_in_the_first_half_of_the_current_year_major_cost_savings,FutureSimple
113,here_the_nhs_considerable_progress_in_recent_years_since_the_introduction_of_the_appraisal_of_options_procedure,PresentPerf
114,he,PastSimple
115,her_attitude_central_to_the_deadlock,PresentProg
116,two_structural_dimensions_of_paramount_importance,PastSimple
117,carole_hemingway_ardent_feminist_and_a_los_angeles_radio_talk_show_host_for_a_backlash,PresentProg
118,their_wintering_grounds_unknown,PresentSimple
119,businesses_some_immediate_concessions_on_act_and_business_rates,FutureSimple
120,into_that_little_erm_ooh_the_sort_of_semi_skirting_board_thing,PresentSimple
121,for_years_the_lonely_box_its_part_as_an_essential_signal_post_on_the_busy_main_line_without_anything_untoward_disturbing_its_peaceful_operation,PastPerf
122,the_hollow_sound_the_beginning_of_the_game_not_the_end,PastSimple
123,after_that_he_about_nothing_at_all,PastPerf
124,the_king_prudently_to_them,PresentPerf
125,and_they_they_them,PastPerf
126,constance_the_stall_holders_in_the_market_all_her_life,PastPerf
127,in_the_civil_service_the_prevailing_ethos_one_of_control_of_subordinates_rather_than_allowing_discretion,PresentSimple
128,where_he_then,PastProg
129,liese_my_body_for_tension,PastSimple
130,the_bolt_a_bit_now,PastProg
131,for_this_print_i_back_to_the_patterns_of_light_and_shade_created_by_strong_sunlight,PastProg
132,or_they_all_but_the_soldiers,PresentPerf
133,i_evidence_from_noise_experts_and_from_many_of_the_residents,PresentPerf
134,getting_to_grips_with_the_machinery_model_roger_sexton_from_bangor_and_mary_mcgonagle_the_current_miss_northern_ireland,PresentSimple
135,gods_also_dangerous_figures_again_like_father,PresentSimple
136,why_the_fish_into_the_jug,FutureSimple
137,but_he_it_for_his_little_girl_his_karen_and_for_her_mother_his_wife_ruthie,PastProg
138,then_what_they_for,PresentProg
139,she_her_hands_pulling_at_her_lovely_mane_of_hair,PastProg
140,the_ec_infuriated,PastSimple
141,why_that_man_a_bed_up_the_hill,PresentProg
142,they_still_about_the_scientific_theories_of_the_early_years_of_this_century_like_relativity_and_quantum_mechanics,PresentProg
143,the_sequence_anything_about_schizophrenia,FutureSimple
144,things_that_well,PresentProg
145,opposite_him_ds_stuart_finn_a_marlboro_blowing_out_streams_of_smoke_alternately_gazing_into_the_depths_of_his_tea_cup_and_glancing_out_of_the_window,PastProg
146,i_not,PresentProg
147,there_a_mermaid_there_too,PastSimple
148,mike_smith_the_singer_and_keyboard_player_in_the_dave_clark_five_a_quiet_drink,PastProg
149,most_recent_wars_in_a_baby_boom_even_for_the_losers,PresentPerf
150,it_a_toy_car,PastSimple
151,i_any_black,PresentPerf
152,she_then_to_full_consciousness_with_her_past_subtly_changed,PresentSimple
153,throughout_his_brilliant_career_with_airdrie_newcastle_chelsea_and_derby_controversy_his_every_move,PastSimple
154,in_trying_to_conceal_his_negligence_the_projectionist_me_with_tangible_evidence_of_the_grand_illusion,PastPerf
155,yeah_but_yeah_i_so,PresentSimple
156,he_more_into_people_threatening_people_or_preferably_both,PastProg
157,which_floor_you_on,PresentProg
158,he_never_much_pretence_at_hiding_it,PastPerf
159,naturally_enough_this_kind_of_discourse_not_unrelated_to_the_facts_of_the_situation,PresentSimple
160,bacon_and_eggs,FutureSimple
161,in_some_cases_homes_by_convicted_criminals,PastProg
162,they_all_crying,PastSimple
163,computers_for_history_teaching_computer_technology_rapid_change,PresentProg
164,and_then_people_use_of_that,PastProg
165,how_many_officers_on_the_case_at_the_height_of_its_investigation,PastProg
166,it_our_rhythm,PastProg
167,we_also_into_implications_for_inequality_in_the_future_of_the_social_differentials_in_current_demographic_trends,PresentProg
168,two_health_authorities_in_the_region,PresentProg
169,motion_three_one_nine_accepted,PresentProg
170,the_things_still,PresentProg
171,much_of_it_media_hype,PresentSimple
172,these_focal_places_in_the_next_chapter,FutureSimple
173,she_her_curved_reflection_in_the_chrome_mirror,PastPerf
174,you_of_them,PresentPerf
175,hannon_up_the_first_two_races_as_well_after_starting_the_day_with_no_confidence_at_all,PastPerf
176,distraught_sandra_yesterday_police_descriptions_of_the_men,PastProg
177,i_this_in_the_telegraph,PresentSimple
178,to_one_who_before_her,PastPerf
179,in_the_past_review_meetings_sometimes_in_the_absence_of_the_elderly_client,PresentPerf
180,chapman_part_of_the_blame_for_not_winning_promotion_on_the_loss_of_two_vital_points_at_clapton_orient_in_march_at_a_crucial_stage_in_the_race,PastSimple
181,but_it_always_its_copious_data_for_control_rather_than_for_information,PastPerf
182,she_at_him_with_recrimination,PastProg
183,he_at_school_with_my_father,PastSimple
184,as_a_result_of_advice_from_me_and_from_others_the_family_for_a_new_replacement_grant_on_the_same_building,PresentPerf
185,this_to_the_setting_up_of_a_joint_system_of_financial_control,PastPerf
186,justice_in_a_summary_way,PastSimple
187,seconds_later_it,PastPerf
188,she_surprised,PastSimple
189,we_not_critical_questions_about_learning,PresentProg
190,the_application_of_a_speedy_economical_yet_powerful_method_of_job_analysis_valuable_help_in_clarifying_these_discrepancies,PresentPerf
191,some_of_the_most_treasured_or_been_broken,PastPerf
192,it_the_answer_to_all_our_prayers,PastSimple
193,mum_off_all_day_and_half_the_night_and_sleeping_like_the_dead_the_other_half,PastProg
194,it_to_all_inquiries_held_by_the_secretary_of_state_for_scotland,FutureSimple
195,charles_another_face_in_beer,PresentSimple
196,you_yeah,PastProg
197,the_children_one_postcard_appeal_to_amnesty_as_their_competition_entry,FutureSimple
198,most_young_british_architects_never_one_of_their_house_designs_actually_built,PresentPerf
199,honestly_there_hardly_any_people_there,PresentSimple
200,i_to_church,PresentSimple
201,a_further_file_storage_technique_sometimes_useful_in_handling_information_retrieval_applications,PresentSimple
202,after_the_second_world_war_more_and_more_people_to_swanage_by_car,PastSimple
203,rangers_a_delightful_disdain_for_reputation_this_season,PresentPerf
204,the_proletariat_hardly_more_impressed_by_the_manifesto,PastSimple
205,new_discoveries_constantly_through_a_return_to_original_sources,PresentProg
206,it_like_a_third_person_an_onlooker_in_the_room,PastProg
207,we_our_own_garden_of_eden,PastPerf
208,a_poor_release_by_comparison_the_clubface_open_causing_a_weak_slice,FutureSimple
209,a_wind_blowing_from_the_west,PastProg
210,i_definitely,PastProg
211,this_me_extra_motivation_for_the_rest_of_the_season,PresentPerf
212,too_often_now_in_the_last_four_years_in_planning_committee_time_and_time_again_we_applications_from_departments_and_most_of_them_coming_from_the_police_authority_for_changing_residential_accommodation_to_other_uses,PresentSimple
213,whereas_people_such_as_yourselves_er_two_things_in_mind,PresentPerf
214,and_they_the_music,PresentPerf
215,but_she_not_for_the_intensity_of_her_response,PastPerf
216,the_champagne_your_mood,PresentPerf
217,the_minister_us_the_names_of_the_professional_advisers,FutureSimple
218,for_the_history_of_linguistic_analysis_in_the_west_overwhelmingly_a_prescriptive_and_overtly_a_political_one,PresentSimple
219,anyone_at_ibrox_you_that,FutureSimple
220,the_evaluation_methods_chosen_on_the_purpose_of_the_study_and_the_resources_available,FutureSimple
221,the_company_data_galore,PastPerf
222,older_fans_by_this_change_of_direction,PresentPerf
223,yes_i_a_transvestite,PresentSimple
224,i_every_one_of_you_and_your_families_a_truly_happy_christmas_and_a_very_prosperous_new_year,PresentSimple
225,she_the_set_off,PastSimple
226,a_steering_group_of_representatives_from_different_departmental_divisions_local_health_authorities_and_chinese_voluntary_groups_up,PresentPerf
227,visitors_through_the_centuries_impressed_by_the_beauty_and_harmony_of_these_proportions,PresentPerf
228,he_at_the_door,PastSimple
229,the_majority_of_the_incinerators_incapable_of_sufficiently_high_temperatures,PresentProg
230,putting_it_right_always_a_lot_more_than_making_your,FutureSimple
231,it_out_of_her_hand_earlier_without_her_noticing,PastPerf
232,by_dawn_they_out_the_radcliffe_infirmary_grosvenor_square_downing_street_and_scotland_yard,PastProg
233,state_retirement_pensions_also_at_a_lower_level,PresentSimple
234,our_body_clock_us_for_the_next_day_after_only_a_minimal_opportunity_for_extra_sleep,PresentPerf
235,the_core_of_the_product_a_translation_layer_between_the_converted_macintosh_toolbox_and_dr_dos,FutureSimple
236,number_one_not_moved_number_amendment_number_two_lord_not_moved_number_three_lord,PresentSimple
237,i_not_this_matter_before,PresentPerf
238,ro_you_rather_than_competing_with_other_musical_institutions_and_also_indirectly_benefiting_other_orchestras,PastProg
239,i_not_here_for_a_return_to_streaming_or_special_provision_for_children_with_exceptional_gifts,PresentProg
240,this_a_baltic_amber_specimen_from_east_prussia,PresentSimple
241,it_a_long_long_day,PastPerf
242,as_a_consequence_such_people_weak_and_potentially_exploitable_recipients_of_service,PresentSimple
243,the_cost_in_my_view_probably_in_the_order_of_ten_percent_of_gross_national_product,PresentSimple
244,peter_never_up_here_before,PastPerf
245,although_concentrating_on_the_classical_period_the_tour_also_some_of_the_buildings_of_christian_rome,FutureSimple
246,deteriorating_social_and_economic_conditions_a_major_part_in_this_trend,FutureSimple
247,a_few_over_to_groups_in_arkansas_florida_and_texas,PresentPerf
248,monetarist_critics_of_regional_policy_however_this_evidence_unconvincing,FutureSimple
249,patricia_gregg_of_mews_in_the_meadows_herself_to_police_yesterday_morning_before_appearing_before_city_magistrates_today,PastPerf
250,i_dreams,PresentPerf
251,most_of_them_studiously_at_their_feet,PastProg
252,a_change_of_clothing_also_you_off_the_hook,PresentSimple
253,what,PresentProg
254,by_his_side_an_assistant_a_notepad_and_pencil,PastProg
255,it_itself_sufficiently,PresentPerf
256,some_into_considerable_financial_and_political_difficulty,PresentPerf
257,who_on_earth_at_the_door_like_that_early_in_the_morning,PastProg
258,mr_wilson_apparently_his_case_to_the_court_of_appeal,PresentProg
259,changes_in_mortality_the_marital_status_composition_of_the_older_age_groups_in_britain_over_the_last_century,PresentPerf
260,this_reward_and_punishment_principle_of_culture_important_for_overseas,PresentProg
261,in_the_photograph_on_the_facing_page_there_a_design_up_from_four_wild_roses_and_four_sprays_of_wild_rose_leaves_with_four_individual_rose_leaves_arranged_at_angles_between_them,PresentSimple
262,because_i_people_copies,PresentPerf
263,the_social_hymenoptera_more_varied,PresentSimple
264,such_facilities_as_these_of_great_help_where_vehicles_and_walkers_conflict,FutureSimple
265,the_mangled_remains_of_a_bicycle_out_of_the_windscreen_of_the_lower_car,PastProg
266,within_britain_and_ahead_of_other_european_countries_we_the_concept_of_integrated_pollution_control,PresentPerf
267,behind_them_in_a_doorway_a_man_plain_clothes_and_dark_glasses,PresentProg
268,it_so_bloody_corny,PresentSimple
269,as_big_as_a_cathedral_it_in_red_midland_brick_and_warm_oxford_limestone_with_the_noon_sun_full_upon_it,PastSimple
270,the_threat_successful,PastSimple
271,these_readers_all_lucky,PresentPerf
272,the_conversion_the_complete_rebuilding_of_the_interior,FutureSimple
273,ward_also_the_two_of_them_facing_each_other,PastPerf
274,the_world_for_disaster,PresentProg
275,organised_by_the_institution_of_nuclear_engineers_the_conference_general_modelling_and_economics_safety_performance_and_radiological_protection_and_training,FutureSimple
276,in_fact_they_two_new_rough_collies_within_six_months_of_theirs_going_missing,PastPerf
277,now_she_breakfast,PastSimple
278,from_now_on_these_items_in_the_existing_export_ban_of_leg_irons_shackles_and_gang_chains,FutureSimple
279,people_cars_above_all_else,PresentSimple
280,this_number_due_to_fertiliser_pollution,PresentProg
281,jordan,PastSimple
282,not_a_man_gone_to_the_english_harvest_because_the_board_of_works_work_in_ireland,PastPerf
283,it_almost_like_the_death_of_a_pig_rather_than_a_human,PastSimple
284,he_obviously_into_form,PastProg
285,columns_of_smoke_up_into_the_sky,PastProg
286,co_conservation_planting_er_not,PresentProg
287,he_on_a_kind_of_pedestal_a_little_above_the_others_thrusting_both_arms_up_into_the_air,PastProg
288,a_twenty_year_old_man_in_for_a_chat_with_an_inspector,PresentPerf
289,the_maximum_ablation_rate_therefore,PresentSimple
290,she_a_mild_anger,PastProg
291,they_hands_with_the_figure_in_the_middle,PastProg
292,in_the_meantime_he_a_number_of_small_episcopal_churches,PastPerf
293,this_august_committee_meeting_the_lowest_estimates_for_building_the_clubhouse_and_the_workshop,PastSimple
294,such_the_soothing_effect_of_property,PresentSimple
295,at_dawn_i_still_round_in_circles_in_a_five_mile_stack_over_edinburgh_airspace,PastProg
296,he_closer,PastProg
297,nuclear_waste_disposed_of_at_much_shallower_depths,PresentSimple
298,what_level_of_negligence_by_the_authorities,PastPerf
299,all_four_rabbits_now_straight_at_him,PastProg
300,who_you,PresentPerf
301,now_it_on_the_bed,PastProg
302,the_party_more_fortunate_than_their_predecessors,PastPerf
303,competition_on_price,PresentSimple
304,several_important_works_or_environments,PresentPerf
305,new_studies_for_the_tiniest_blips_in_the_microwave_background,FutureSimple
306,the_hill_of_water_her_giving_a_view_of_the_area,PastSimple
307,nb_lecturing_distance_learning_legal_network_tv_etc_also_relevant,FutureSimple
308,it_a_fundamental_part_of_all_human_beings,PresentSimple
309,he_some_of_the_talk_during_training,PastProg
310,three_other_people_arrested_after_the_shooting_without_charge,PresentPerf
311,after_watching_a_particularly_thrilling_lone_ranger_at_the_saturday_morning_minors_garry_a_renewed_interest_in_the_making_of_bombs,PastPerf
312,both_societies_deeply_by_their_history_and_by_their_perception_of_that_history,PresentSimple
313,a_queue_of_men_outside_soberly_reporting_for_duty,PastProg
314,team_appraisal_the_individual_face_to_face_appraisal_meeting,PresentSimple
315,they_not_the_goods_today,PresentProg
316,dozens_during_demonstrations,PresentPerf
317,for_foucault_this_a_vigorous_critique_of_historicism_including_marxist_historicism_and_its_relation_to_the_operations_of_knowledge_and_power,PresentPerf
318,my_own_advertising_them_the_the_service_and_the_quality,PastProg
319,the_jury_out_tomorrow,FutureSimple
320,michael_already_into_a_coma_after_three_hours_in_the_cold_seas,PastProg
321,we_health_and_fitness_i_on_tuesday_and_my_knee_hurt,PastProg
322,some_of_this_information_of_strategic_value,FutureSimple
323,the_latter_two_groups_just_over_thirty_in_all_purposefully_towards_fort_house_the_object_of_the_afternoon_programme,PastProg
324,somebody_to_her,PastProg
325,she_very_nice_today_in_science,PastSimple
326,christ_where_she,PastProg
327,the_charity_by_staff_from_the_grass_roots_to_directorate_level,PresentSimple
328,her_face_with_disappointment,PastSimple
329,they_no_longer_the_rights_of_man_at_a_club_for_equality_and_reform,PastProg
330,the_interest_after_six_months_from_the_date_of_opening,FutureSimple
331,by_now_my_mind_along_similar_lines,PastProg
332,luke_aback_anyway_by_that_kiss_at_an_aids_benefit,PastPerf
333,but_not_as_loopy_as_the_lacuna_woman_of_course_who_in_the_shadows_and_favouring_everyone_in_turn_with_her_intense_glare,PastProg
334,each_a_companion_of_honour,FutureSimple
335,darkness_already,PastProg
336,the_german_market,PastPerf
337,your_hours_down_at_all,PastProg
338,on_each_side_of_the_bath_separated_from_it_by_a_colonnade_halls_for_spectators,PastSimple
339,i_some_friends_there,PresentSimple
340,resolution_on_the_particular_circumstances,FutureSimple
341,it_obviously_his_life_at_the_moment,PastSimple
342,in_recent_weeks_the_armed_forces_renewed_signs_of_unease,PresentPerf
343,which_museums_an_inspiration,PresentPerf
344,the_family_it_with_their_solemn_empty_faces_standing_at_a_great_distance_from_the_stage,PastSimple
345,oxford_university_press_a_unique_treasury_of_punches_and_matrices,PastPerf
346,she_not_medicines,PastProg
347,and_the_same_to_the_other_electric_fires_in_the_house,PastPerf
348,how_i_gloriously_his_son_and_heir,PastPerf
349,donna_already_the_second_envelope,PastProg
350,a_temporal_adjunct_therefore_a_more_marked_thematic_choice_in_dutch_than_in_english,PresentSimple
351,they_married_now_for_seven_years,PastPerf
352,you_once_again_it_completely_and_utterly_wrong,PresentProg
353,hal_not,PastProg
354,the_role_of_the_temple_in_the_wider_community_also,PresentProg
355,contribution_tables_these_tables_by_the_department_of_health_and_social_security,PresentSimple
356,it_like_down_the_eye_of_a_hurricane,PastProg
357,some_women_i_after_with_hope_but_without_good_fortune,PresentPerf
358,done_once_a_year_they,PresentSimple
359,this_vision_both_a_positive_and_a_negative_aspect,PastSimple
360,you_commander,PresentSimple
361,which_soap_you,PresentSimple
362,an_overnight_case_carefully_on_a_sheet_of_newspaper,PastPerf
363,the_two_of_them_side_by_side_by_the_corpse,PastSimple
364,no_pumice_indefinitely_though,FutureSimple
365,as_always_we_the_idea_but_not_the_money,PastSimple
366,formula_funding_a_constant_reminder_of_the_need_for_pupils,FutureSimple
367,furthermore_there_no_evidence_the_seals_with_a_decrease_in_fishing_yields_or_on_the_status_of_the_marine_ecosystem,PresentProg
368,there_a_prima_facie_case_for_prompt_national_action,PresentSimple
369,waking_up_with_a_hangover_harder_and_more_disagreeable,PastProg
370,a_sound_experience_tired_of_amiga_and_mac_users_taking_the_mickey_out_of_the_pitiful_beep_your_pc,PresentSimple
371,she_a_groove_in_her_thumb,PastProg
372,we_accordingly_back_central_funding_but_at_the_same_time_encouraging_an_increased_local_spend,PresentProg
373,her_hands,PastProg
374,i_more_and_more_heavily,PastProg
375,it_another_part_in_a_provincial_theatre,PastPerf
376,confusion_for_both_patient_and_helpers_otherwise,FutureSimple
377,business_sponsorship_in_particular_hugely,PresentPerf
378,thus_we_a_picture_of_constancy_in_change,PresentSimple
379,an_hour_later_nobody,PresentPerf
380,in_fact_this_a_process_of_familiarity_rather_than_learning,PresentSimple
381,frequently_wet_rot_or_dry_rot,PresentSimple
382,he_fourteen_times,PastPerf
383,but_victor_being_victor_knowing_me_being_me_round_the_hotel_checking_sometime_in_the_day,FutureSimple
384,such_politically_engaged_postmodernism_rarer_in_britain_than_elsewhere,PresentSimple
385,motion_one_seven_seven_accepted_all_those_in_favour,PresentProg
386,once_again_fewer_asians_unpleasant_experiences,PastPerf
387,ah_right_so_the_the_direction_the_clouds_in_against_this_frosted_glass_screen_yes,PresentProg
388,obviously_someone_now_to_her,PastProg
389,soon_the_calls_out_to_groups_all_over_the_country,PastProg
390,the_policeman_a_shrill_whistle,PastProg
391,a_police_vehicle,PresentPerf
392,some_experimental_discs_using_conventional_video,PresentProg
393,and_for_for_somebody_who_in_an_ordinary_person_just_complaining_mm,PastProg
394,our_clientele_down_quicker_than_free_beer_on_a_beano,FutureSimple
395,both_in_blue_overalls,PastSimple
396,these_payable_whatever_the_outcome_of_the_hearing,PresentSimple
397,it_a_murderous_conclusion,PastProg
398,and_i_with_you_always,FutureSimple
399,during_the_renaissance_and_in_later_times_the_pantheon_the_admiration_of_artists_of_all_nations,PresentPerf
400,for_some_people_personal_care_plans_up,FutureSimple
401,and_then_unable_to_be_cross_with_him_for_long_you_your_feelings_over_to_the_critic,PresentSimple
402,she_so_much_undone,PastPerf
403,a_mountaineer_of_repute_whether_local_or_not_conspicuous_by_his_or_her_absence,PresentSimple
404,dr_betteridge_currently_senior_lecturer_in_medicine_at_university_college_london_and_honorary_consultant_physician_at_university_college_hospital,PresentSimple
405,he_the_front_of_the_house_from_a_square_lawn_into_a_courtyard_garden,PresentPerf
406,this_project_the_various_avenues_of_political_representation_available_to_the_ethnic_minority_communities_and_the_likely_success_of_alternative_strategies,FutureSimple
407,oxford_story_gift_shop_daily,PresentSimple
408,the_sharks_really_blood,FutureSimple
409,they_also_themselves_agreeing_to_the_introduction_of_temporary_workers_in_return_for_employers_granting_increased_job_security_for_the_majority_of_the_labour_force,PresentPerf
410,the_british_not_so_well,PastSimple
411,the_programme_to_japan_in_the_fourth_quarter,FutureSimple
412,much_of_the_improvement_scheme_on_cosmetic_rather_than_structural_problems,PresentPerf
413,moreover_throughout_all_these_swings_london_a_peculiar_importance_within_the_national_economy_as_a_whole,PresentPerf
414,later_projects_with_spectroscopy,PresentProg
415,i_already_this_out,PastPerf
416,she_on_by_a_thread,PastProg
417,they_them_buoyant,PresentProg
418,for_example_two_new_mobile_units_now_chiropody_and_dentistry_to_the_villages,PresentProg
419,some_not_direct_except_in_very_large_quantities,FutureSimple
420,the_examination_boards_newly_grouped_on_broadly_regional_lines_responsible_for_the_examinations_but_no_longer_for_determining_the_syllabuses_or_the_methods_of_examination,PresentProg
421,serious_choral_collectors_both_versions,FutureSimple
422,on_hot_summer_evenings_this_one_of_the_most_popular_watering_holes_for_miles_around,PastSimple
423,you_not_a_goal_of_more_classical_quality_and_execution_than_this_one,FutureSimple
424,a_brief_description_of_each_of_the_core_modules_detailed_below,PresentSimple
425,clearly_the_terrorists_intent_on_the_commercial_hearts_of_northern_ireland,PresentProg
426,seductive_behaviour_on_the_part_of_a_child_natural,PresentSimple
427,today_a_shopping_revolution_place_in_the_romanian_capital,PresentProg
